id,name,text,trans
0000000000000,SNSの投稿,『駅にストレイライトの広告出てた！』,"""There was a Straylight ad at the station!"""
0000000000000,SNSの投稿,"『公共の場にドーンとあると
大きくなったんだなぁって改めて感じる……』","""Seeing them in a big public ad makes me emotional over their growth yet again..."""
0000000000000,SNSの投稿,『俺たちのストレイライト、最強』,"""Our Straylight, is the strongest."""
3018011030010,冬優子,（──……写真、撮りに行くか）,(──...should I go and take a photo?)
3018011030020,冬優子,……ふぁ……,...fwah...
3018011030030,冬優子,（ねっむ……──）,(Sleepy...──)
3018011030040,冬優子,"（……早起きして広告の写真撮りに行くとか……
推しでも出てんのかって話なのよ……）",(...Waking up early to go and take a picture of ads... so that people will talk about how their fave was here...)
3018011030050,冬優子,（自分のためっちゃ自分のためだけど……）,(It's all for my own good...)
3018011030060,冬優子,"（──……いや、でも。それにしても眠い……
やっぱ夜にしておけば……）","(──....no, but. I'm also sleepy... I should have gone at night instead...)"
3018011030070,冬優子,"（……っあー……もう、散々考えたでしょ
この時間が一番、人がいないはずなんだから……）","(...Ugh... I already thought this through. Right now would be best, since nobody would be there...)"
3018011030080,冬優子,"……はぁ……
眠いとほんと全部ダメね……──","...Hahh...
Being sleepy really wears me down...──"
3018011030090,冬優子,……,......
0000000000000,ファン１,ねぇやばい……っ……！,Hey... This is crazy...!
0000000000000,ファン２,"わっ……！
もう、声響くから落ち着いて","Wah...!
Hey, calm down because your voice is echoing!"
0000000000000,ファン１,～～……っ！　無理…………！,～～....!! There's no way...!
0000000000000,ファン２,それは何への『無理』なの,What are you saying 'no way' about...
0000000000000,ファン１,"ストレイライトが尊いことそれ自体と……
その尊さを前に声を抑えることなど……という……！",Straylight is sacred in and of itself... You're asking me... to keep quiet in front of that sacredness...!
0000000000000,ファン２,わかるけども,I get it.
3018011030100,冬優子,……──,...──
3018011030110,冬優子,"（……待つ──にしても離れた方がいいわよね
ここじゃ順番待ちしてるのバレバレ）",(...It's better to leave even if I want to wait. I'll be found out if I wait for my turn here.)
0000000000000,ファン２,ねぇせっかくなら一緒に撮ったら？,"Hey, why don't we take a picture with the ad?"
0000000000000,ファン１,恐れ多いから…………！！,Isn't that disrespectful...!!
3018011030120,冬優子,っふ……！,Fwu...!
0000000000000,ファン１,"こんなかっこいいふゆちゃんの横になんか並べない
いやいつだって並べないけど","I can't pose next to such a cool Fuyu-chan. I mean, I'm not even worthy of being next to her."
3018011030130,冬優子,ふふ……,Fufu...
3018011030140,冬優子,"（わかるわかる……こういうの、
隣に立ったら推しが損なわれる気がするのよねー……）","(I get it, I get it... It's like, if you stand up by your fave it would only sully them...)"
0000000000000,ファン２,ふゆちゃんの素晴らしさはそれくらいで霞まなくない？,"Fuyu-chan's magnificence is that overshadowing, huh?"
3018011030150,冬優子,……,......
3018011030160,冬優子,（その発想はなかったわ……）,(I wouldn't say that...)
0000000000000,ファン１,それはそうだけど、そうじゃなくて～！,"It's kind of like that, but not～!"
0000000000000,ファン２,はいはい、どうどう,"Okay then, how so?"
0000000000000,ファン１,──……だって、いつもは『可愛い』の化身なのに,"--...It's like, she's always the personification of 'cute'."
0000000000000,ファン１,"ストレイライトにいる時は
こんなに『かっこいい』を見せてくれるんだよ？","But in Straylight, she shows us this 'cool' side of her, y'know?"
3018011030170,冬優子,（……──）,(......──)
0000000000000,ファン１,"私たちの需要のためにさ、
頑張って作り上げてくれてるわけじゃん！",That means she's working hard in order to rise up to our expectations!
0000000000000,ファン１,"そんなプロ意識の結晶にさ……！
こんなちんちくりんを軽率に並べちゃダメなんだよ……！",She's the crystallization of professionalism! There's no way I can just casually pose next to her...!
3018011030180,冬優子,（────……）,(────...)
3018011030190,冬優子,"（……ちょっと卑下しすぎよ
────でも）","(...You didn't have to put yourself down that much.
But────)"
3018011030200,冬優子,（──……信じてくれてありがとう）,"(──...Thanks for believing in me.)
(Audio:) [──...Thanks for blindsiding me.]"
3018011030210,冬優子,"（……あと
黛冬優子は、そういう顔の方が得意なのよね）","(...Of course, that side of Fuyuko Mayuzumi is her forte.)"
3018011030220,冬優子,────…………,────......
3018011030230,冬優子,『広告が出ているのは来週末までです！』,"""The ads are up until the end of next week!"""
3018011030240,冬優子,"『おっきなストレイライトのこと、
ぜひ見に来てください♡』","""Please make sure you come and see the big Straylight ♡"""
3018011030250,冬優子,"『#ふゆとのツーショット見てみたいな
#写真撮る時はまわりに注意だよ』","""#IWantToSeeYourPicWithFuyu
#BeMindfulWhileTakingPictures"""
3018011030260,冬優子,……,......
3018011030270,愛依,"『冬優子ちゃん駅行ったんだ！？
うちもおっきなうちら見たい〜！』","""Fuyuko-chan went to the station!? I wanna see the big ad too～!"""
3018011030280,冬優子,……,......
3018011030290,冬優子,『時間作って行くことねー』,"""Then let's make time to goー"""
3018011030300,愛依,"『うん！
うちも女王様みたいな冬優子ちゃんと写真撮らなきゃ！』","""Yeah! I also wanna get a pic with queen-like Fuyuko-chan!"""
3018011030310,愛依,『てか冬優子ちゃん、ああいう顔ちょーらしいよね！』,"""Btw Fuyuko-chan, your face really suits the role!"""
3018011030320,冬優子,……,......
3018011030330,冬優子,……ばーか,...Dummy.
3018011030340,冬優子,『何言ってんの』,"""What are you saying?"""
3018011030350,冬優子,『ふゆに合うのは可愛いお姫様みたいな笑顔でしょ』,"""It's a cute princess smile that suits Fuyu."""
3018011030360,冬優子,『あれはオーダーに応えただけよ』,"""That, was merely how I answer expectations."""
3018011030370,冬優子,……ふふ,...hehe.
info,produce_events/301801103.json,
Translator,Batsu,
