ja,zh
チェック……ワン……ツー\n感度……良好……,チェック……ワン……ツー\n感度……良好……
──ねえ、プロデューサー\n……まみみを、みつ…………ぅ\n……その、ありがとう……ございます,──ねえ、プロデューサー\n……まみみを、みつ…………ぅ\n……その、ありがとう……ございます
あれは……\n何色だったでしょう……,あれは……\n何色だったでしょう……
ばかな……\n凛世……,ばかな……\n凛世……
アンタには、ちゃんと元気で\nいてもらわねーと、\nアタシが困るから……,アンタには、ちゃんと元気で\nいてもらわねーと、\nアタシが困るから……
蝶よ……花々に飽いたら……\n凛世に……とまれ……,蝶よ……花々に飽いたら……\n凛世に……とまれ……
……喧嘩って、自分とか誰かを\n護るためにやるもんだろ\n自分の正義を、貫くために──,……喧嘩って、自分とか誰かを\n護るためにやるもんだろ\n自分の正義を、貫くために──
──ん。これ、アンタに差し入れ。チョコがパウンドケーキ\n作るって言うから、それ手伝ったついでっつーか……\nや、えーと…………とにかく受け取れ！！,──ん。これ、アンタに差し入れ。チョコがパウンドケーキ\n作るって言うから、それ手伝ったついでっつーか……\nや、えーと…………とにかく受け取れ！！
真乃、灯織……大好きだよ！\n一緒に輝きを届けよう！,真乃、灯織……大好きだよ！\n一緒に輝きを届けよう！
おやつにフルーツサンドを作りました\nあっ……プロデューサーさん、お腹空いてるんですか……？\nそれじゃあ、よかったら……どうぞ……っ,おやつにフルーツサンドを作りました\nあっ……プロデューサーさん、お腹空いてるんですか……？\nそれじゃあ、よかったら……どうぞ……っ
……待ってたんですケド\nプロデューサーのこと,……待ってたんですケド\nプロデューサーのこと
そこのコンビニまで\n肉まん買いに来ただけですよー,そこのコンビニまで\n肉まん買いに来ただけですよー
片翼でも\n飛び回れますからぁ,片翼でも\n飛び回れますからぁ
鎖で繋いだら、ほら\nもう逃げられませんねー,鎖で繋いだら、ほら\nもう逃げられませんねー
ありがとう、プロデューサー\nアナタがいたからここまで来れたの\n──だから、これからも……一緒よ,ありがとう、プロデューサー\nアナタがいたからここまで来れたの\n──だから、これからも……一緒よ
ついてこれるものなら、\nちゃーんとついてきてねっ♪\n置いてっちゃうんだから！,ついてこれるものなら、\nちゃーんとついてきてねっ♪\n置いてっちゃうんだから！
可愛い、かっこいい、すごい、素敵\nふゆ、そう言われるのが大好き\nでも……それよりあんたの、頑張ったなって言葉が嬉しいの,可愛い、かっこいい、すごい、素敵\nふゆ、そう言われるのが大好き\nでも……それよりあんたの、頑張ったなって言葉が嬉しいの
うまか～も、うれしか～もなか時は\nうちがご飯作っちゃるけん！\n一緒に食べよ～,うまか～も、うれしか～もなか時は\nうちがご飯作っちゃるけん！\n一緒に食べよ～
ちゃんと見てた？\nふゆの完璧な仕事ぶり,ちゃんと見てた？\nふゆの完璧な仕事ぶり
わあ～♡\nこのセット、\nすっごく可愛いです～♡,わあ～♡\nこのセット、\nすっごく可愛いです～♡
Are You Ready？,Are You Ready?
ふふ、ふかふかのパンケーキ…………ほわっ\nあ、あの……めぐるちゃんおすすめのカフェで食べたんです\n……ふたりとお話しながら、とっても楽しい時間でしたっ,ふふ、ふかふかのパンケーキ…………ほわっ\nあ、あの……めぐるちゃんおすすめのカフェで食べたんです\n……ふたりとお話しながら、とっても楽しい時間でしたっ
甜花は……\nお人形さん……です……,Tenka……\nis like…… a doll……
甜花は……\nアイドル……です……！,Tenka……\nis an……idol……！
…………………………\n…………～～ぷはぁっ！,…………………………\n…………～～ぷはぁっ！
お花の、妖精さん……\nお花畑で……お昼寝中……,お花の、妖精さん……\nお花畑で……お昼寝中……
──行こう……っ\n灯織ちゃんとめぐるちゃんと一緒の、あの場所へっ,──行こう……っ\n灯織ちゃんとめぐるちゃんと一緒の、あの場所へっ
お日様とお月様と私で……\nヒカリが戯れるように歌い続けたい……どこまでも……,お日様とお月様と私で……\nヒカリが戯れるように歌い続けたい……どこまでも……
赤色、黄色……とってもキラキラしています。お日様があたって気持ちよさそうです,赤色、黄色……とってもキラキラしています。お日様があたって気持ちよさそうです
お腹が空いたときに、これならお腹にたまるかなって思って、鳥さんドーナツにしましたっ,お腹が空いたときに、これならお腹にたまるかなって思って、鳥さんドーナツにしましたっ
どこまでも……どこまでも……\nこの『歌声』を響かせられるように──,どこまでも……どこまでも……\nこの『歌声』を響かせられるように──
プロデューサーさん\n山が見えてきましたっ\n……紅葉がとっても綺麗です,プロデューサーさん\n山が見えてきましたっ\n……紅葉がとっても綺麗です
私が今、美しい景色を見られるのはプロデューサーのおかげさ,私が今、美しい景色を見られるのはプロデューサーのおかげさ
ここまで来たら、もっと上を目指したくなったよ,ここまで来たら、もっと上を目指したくなったよ
私たちならどこまでも行ける、そうだろう？　プロデューサー,私たちならどこまでも行ける、そうだろう？　プロデューサー
こんな楽しみとか……\nマジ予想外だわ！,こんな楽しみとか……\nマジ予想外だわ！
プロデューサーがいれば、\nどこまででもいけるっしょ！,プロデューサーがいれば、\nどこまででもいけるっしょ！
うち、ここまでやれんだ\n……アハハ！,うち、ここまでやれんだ\n……アハハ！
この時の写真かい？\n……フフ、どうしていると思う？,この時の写真かい？\n……フフ、どうしていると思う？
いろんな人に、おかしをたっく\nさんもらいました！　プロデュ\nーサーさんにおすそわけです！,いろんな人に、おかしをたっく\nさんもらいました！　プロデュ\nーサーさんにおすそわけです！
お菓子いっぱい作ったけん\nあのセリフ、\n何回言ってもよかよ～！,"""I made lotsa snacks, y'all!"" …Sayin' that never gets old～!"
仮装用のアイテム色々買ってきたわ！　プロデューサーも一緒にやろ！,"I brought a buncha costume accessories for everyone! Producer, you try some on too!"
言われる側も楽しそうだね\nアナタがどんな悪戯をするのか\n……フフ、興味があるよ,Being the one asked 'Trick or Treat' seems fun too. What trick would you play? I'm curious.
さあ！\nとびっきりのパフォーマンスを\n浴びせてあげるわ！,さあ！\nとびっきりのパフォーマンスを\n浴びせてあげるわ！
お菓子を……出せ……\nいたずらするぞ……\n──ほんとでございます……,お菓子を……出せ……\nいたずらするぞ……\n──ほんとでございます……
お菓子補充しとかなくて大丈\n夫？　あちこちから狙われる\nんだから、気を付けなよ～,"Don't worry about refilling the candy! I've been adding more here and there, so relax～"
ねえ、お菓子ある？\n……あ、持ってんの？\nじゃあ後でにするわ,"Hey, got any candy? …Oh. You actually do. Guess I'll have some later, then."
みんなで仮装ができたらって思って、ゾンビさんのメイクをお勉強していますっ,みんなで仮装ができたらって思って、ゾンビさんのメイクをお勉強していますっ
イタズラはしないので\nお菓子割増しでどうでしょう\nプロデューサーさん！,イタズラはしないので\nお菓子割増しでどうでしょう\nプロデューサーさん！
イタズラはダメですが、代わり\nにお菓子を作りました\n──おひとつどうですか？,"I can't trick you, so instead I made some candy.\n──Would you like one?"
チョコと果穂に、お菓子用意\nしとけって言われてさ……\nん、アンタにも……やるよ,チョコと果穂に、お菓子用意\nしとけって言われてさ……\nん、アンタにも……やるよ
ハロウィンって、普段できない格好できるから楽しいよねっ☆　どんなのにしよっかな〜,ハロウィンって、普段できない格好できるから楽しいよねっ☆　どんなのにしよっかな〜
あの時よりずっと……\nアイドルになりたい……です,あの時よりずっと……\nアイドルになりたい……です
ここからは……\nわたしの力で、進まなきゃ……,ここからは……\nわたしの力で、進まなきゃ……
ねえ見てプロデューサー！\n仮装したカトレアの写真よ！\nどう？　可愛いでしょう？,ねえ見てプロデューサー！\n仮装したカトレアの写真よ！\nどう？　可愛いでしょう？
プロデューサー、トリックオア\nトリート！　お菓子をくれなき\nゃイタズラしちゃうよー？,プロデューサー、トリックオア\nトリート！　お菓子をくれなき\nゃイタズラしちゃうよー？
プロデューサーさんのおかげで\nわたしになれたって思います,プロデューサーさんのおかげで\nわたしになれたって思います
い、いたずらしちゃうぞ～！\n……え？　えと……いたずらって……何するんだろ……？,い、いたずらしちゃうぞ～！\n……え？　えと……いたずらって……何するんだろ……？
えへへ、美味しそうだね☆\n早く事務所に戻って\n一緒に食べたいなっ！,えへへ、美味しそうだね☆\n早く事務所に戻って\n一緒に食べたいなっ！
さーて、準備ばっちり！　いつでも来いって感じね！,さーて、準備ばっちり！　いつでも来いって感じね！
わんわんっ！　……ええと、\nハロウィンなので、いたずら\nのつもりでした……！,わんわんっ！　……ええと、\nハロウィンなので、いたずら\nのつもりでした……！
シェアするなら\n『あ～ん』とか\nしてみちゃう～？,シェアするなら\n『あ～ん』とか\nしてみちゃう～？
ヒーローは、もっとずっと、\n強くてカッコいいんですっ！,ヒーローは、もっとずっと、\n強くてカッコいいんですっ！
ヒーローみたいに、もっとスゴいアイドルになります！,ヒーローみたいに、もっとスゴいアイドルになります！
プロデューサー。ふゆの雄姿、ちゃんと見てなさいよ！,プロデューサー。ふゆの雄姿、ちゃんと見てなさいよ！
プロデューサーさんにも\nやっと食べてもらえて\nめっちゃうれしー☆,プロデューサーさんにも\nやっと食べてもらえて\nめっちゃうれしー☆
プロデューサーさんは、\nあたしのヒーローなんです！,プロデューサーさんは、\nあたしのヒーローなんです！
ミイラ男さんと吸血鬼さんど\nっちが強いって聞かれて……\nふふ……喧嘩はダメです……,I was asked whether I thought a mummy or a vampire would be stronger… Eheh… No fighting…
今すぐストロベリーサンデーが食べたいですー。用意できないならイタズラしまぁす,"I want a strawberry sundae right now. If you can't get me one, I'll play a trick on you～"
夏といえば……そう！\n私、有栖川夏葉の季節よ！,夏といえば……そう！\n私、有栖川夏葉の季節よ！
幸せの花びら\nみーんなに受け取って\nもらいたいなっ☆,幸せの花びら\nみーんなに受け取って\nもらいたいなっ☆
放課後には、楽しいがいっぱいいっぱい、いーっぱいあります！,放課後には、楽しいがいっぱいいっぱい、いーっぱいあります！
昨日のふゆよりいいふゆを。明日はもっと良くなるから！,昨日のふゆよりいいふゆを。明日はもっと良くなるから！
最高の記事を書いてもらえそうだ！\nこれでお願いしようかな？,最高の記事を書いてもらえそうだ！\nこれでお願いしようかな？
毎日ハロウィンだといいっすね！　面白い格好の人、街でたくさん見れるっすから！,It'd be cool if it was always Halloween! I'd see people out wearin' costumes every day!
甘奈と一緒に空中散歩！\n背中を押してくれたら\nもーっと高く飛べちゃう☆,甘奈と一緒に空中散歩！\n背中を押してくれたら\nもーっと高く飛べちゃう☆
風邪、引かないように……\n濡れたとこ、\nちゃんと乾かしとけよ！,風邪、引かないように……\n濡れたとこ、\nちゃんと乾かしとけよ！
ファンのみなさん\n盛り上がってくれましたね\n次は、もっと上を目指します,"The fans are excited. Next time, I'll have to aim higher."
三峰にとっては空も通り道ってね！\nさて、派手に始めましょうか！,三峰にとっては空も通り道ってね！\nさて、派手に始めましょうか！
歯車は噛み合い、絡み合い、\n──そうして『永遠』になるんだよ,歯車は噛み合い、絡み合い、\n──そうして『永遠』になるんだよ
焔は燃える……──\n闇ば消すために,焔は燃える……──\n闇ば消すために
私は、誰にも捕まらない\n複雑なパープル──,私は、誰にも捕まらない\n複雑なパープル──
飛べない、なんて言わせないよ\n三峰のためなら、不可能ぐらい\n可能にしてくれなくちゃ！,飛べない、なんて言わせないよ\n三峰のためなら、不可能ぐらい\n可能にしてくれなくちゃ！
お～～～い！\nお～～～～い……！\n──返事しよるよ、世界が！,お～～～い！\nお～～～～い……！\n──返事しよるよ、世界が！
からん、ころん\n花火ですぐ掻き消えるこの音も\nなんだか無性に愛おしいよ,からん、ころん\n花火ですぐ掻き消えるこの音も\nなんだか無性に愛おしいよ
わたしの歌、聴こえてる──？\n真乃と灯織と３人で、どこまで\nだって届けてみせるよ！,わたしの歌、聴こえてる──？\n真乃と灯織と３人で、どこまで\nだって届けてみせるよ！
シャボン玉とあたしと……\nどっちがスゴいステージに行けるか勝負です！,シャボン玉とあたしと……\nどっちがスゴいステージに行けるか勝負です！
一応聞いとこうか\n降参する気とかって、ある？,一応聞いとこうか\n降参する気とかって、ある？
吊籠よ……祝福なさい……\n小鳥は空を知るのだから……,吊籠よ……祝福なさい……\n小鳥は空を知るのだから……
奇跡みたいに愛しい日々を\nこれからも……！,奇跡みたいに愛しい日々を\nこれからも……！
次に撃たれたい人は挙手！\nチョコアイドルが\n狙いにいっちゃいまーす！,次に撃たれたい人は挙手！\nチョコアイドルが\n狙いにいっちゃいまーす！
見ない顔ですねぇ……！,見ない顔ですねぇ……！
鐘ば鳴ったら\n夜はいただき──！,鐘ば鳴ったら\n夜はいただき──！
プロデューサーさんのおかげで、今の私がいます\n……最初の一歩を踏み出した時から、これまでずっと──\nずっと一緒にいてくださって、ありがとうございます……っ,プロデューサーさんのおかげで、今の私がいます\n……最初の一歩を踏み出した時から、これまでずっと──\nずっと一緒にいてくださって、ありがとうございます……っ
