ja,en
二週間後、休んでもいい？,Is it cool to rest two weeks from now?
一週間後、休んでもいい？,Is it cool to rest one week from now?
一週間後、ビジュアルレッスンしてい～い？,"Next week, is it cool to have a visual lesson?"
あのね……,"Uh, hey..."
みんな──,Everyone...
二週間後、ビジュアルレッスンしてい～い？,Is it alright to have a visual lesson in two weeks?
あ～、やっぱなんか物足りないカンジするわ～,"Ah～, this kinda feels lame～"
次は頼むね～、プロデューサー,"Keep my next promise, okay Producer～?"
あ、ヤッバ！　今日誘われてたんじゃん！,"Ah, shoot! I was invited out today!"
友達、ちょーおこなんだけど～……,My friend might get a little pissed～...
プロデューサー、ちょい誘われちゃって\r\n断れない系でさ～,"Producer, I kinda don't want to break my promise～"
今週、休んでもいい？,Is it cool if I take this week off?
一週間後、ボーカルレッスンってできる～？,Would I be able to do a vocal lesson in one week～?
あ～、もうちょい体動かしたい系～,"Ah～, I kinda wanna move my body a little～"
プロデューサー、今週ダンスレッスンしたいんだけど,"So Producer, I want to have a dance lesson this
week."
おっ、さすがプロデューサーじゃん♪,"Oh, that's my Producer♪"
え～、無理なん？\r\nま、しゃーないか～,"Eh～, I can't? Well, I guessss～"
うぁ～,Wah～
うち、もっとアガるメイクテク覚えたいんだよね～,I was wanting to learn some new makeup techniques～
今週、ビジュアルレッスンしてい～い？,Is it cool if I do a visual lesson this week？
プロデューサー、一週間後ダンスレッスンしたいんだけど,"So I wanna have a dance lesson in one week, Producer."
よっしゃ～、めっちゃ動いた～！,"Alright～, I worked a lot～!"
マジスッキリだわ！\r\nプロデューサー、サンキュ！,"That's such a relief! Thank you, Producer!"
プロデューサー、見てよ\r\nこのメイク、ちょーヤバくない？,"Producer, look.
This makeup, isn't it totally awesome?"
マジアガるわ～\r\nプロデューサーもそう思うっしょ？,"It's seriously better～ You think so too, right?"
あの曲、もっといいカンジに歌いたいんだけどさ～,"That song, I want to like, sing it better, yeah～?"
今週、ボーカルレッスンってできる～？,"This week, can I have a vocal lesson～?"
