id,name,text,trans
0000000000000,プロデューサー,──学校終わりに現場直行なんて、忙しくて悪いな,"──Sorry for bringing you to the shoot in such a 
hurry after school."
1017002010010,あさひ,"平気っす！
お仕事、楽しいっすから！","It's 'kay! 
I have lotsa fun with work!"
0000000000000,プロデューサー,……そうか,......Is that so?
1017002010020,あさひ,"今日は何をするっすか？
ステージ出るっすか？","What are we doin' today? 
Goin' on stage?"
0000000000000,プロデューサー,"いや……今日はバラエティの収録だ
大丈夫か？","No... Today we're recording for a variety show. 
Is that alright?"
1017002010030,あさひ,"もちろん、どんとこいっす！
芸人さんとかタレントさん、みんな面白いっすもん！","Of course! I'd really like to go!
The comedians, the talents... everyone's interesting!"
0000000000000,プロデューサー,はは、頼もしい限りだ,"Haha, that's pretty reassuring."
1017002010040,あさひ,はいっす！,Yeah!
0000000000000,プロデューサー,おお、やる気いっぱいだな,"Ooh, lots of enthusiasm huh?"
1017002010090,あさひ,満タンっすよ！,At full charge!
1017002010100,あさひ,"…………ずっと同じ教室にいるより、
毎日色んな人に出会って、新しいことがあって……","......Instead of being in the same classroom...
Every day I get to meet lots of people, and do new 
things......"
1017002010110,あさひ,"わたしは……
そういう毎日が、好きっす","At least for me... 
I love those kind of days."
info,produce_events/101700211.json,
Translator,,
