id,name,text,trans
6901001090010,はづき,"プロデューサーさん！
『W.I.N.G.』優勝、本当におめでとうございます！","Producer-san!
Big congratulations on your idol winning W.I.N.G.!"
6901001090020,はづき,"私も会場で見てたんですけど、
発表の瞬間、思わず大声を出しちゃいましたよ！","I was watching from the audience like you were. When
they announced the results I screamed without even
thinking!"
6901001090030,はづき,"今もまだ興奮しちゃってて、
今日はもう眠れそうにありません！","I'm still full of excitement, I don't think I'll even be
able to sleep tonight!"
0000000000000,プロデューサー,ありがとうございます、はづきさん！,"Hazuki-san, thank you so much!"
6902001090010,社長,"本当によくやった
期待以上の結果を出してくれたな","You've done a very fine job.
These results have far exceeded my expectations. "
0000000000000,プロデューサー,社長も……ありがとうございます！,"President, too... Thank you so much!"
6901001090040,はづき,"ふふ。私と社長も会場に来てましたけど、
すごかったですよ","Fufu. The president and I were both watching from
the audience. It was incredible."
6901001090050,はづき,"優勝したってわかった瞬間、社長が泣いてしまって……
ステージをほとんど見れていませんでしたから","As soon as we knew she won the president started
crying so hard he could barely see the stage through
his tears."
6902001090020,社長,"こ、こら！
彼の前でそういうことを言うな！","H-Hush, you!
Don't bring up stuff like that in front of him!"
6901001090060,はづき,"それだけ優勝したのを
喜んでたってことじゃないですか","I think that detail alone shows you how happy the
president is about her win."
6902001090030,社長,そ、それはそうだが……,"W-well, you are correct..."
0000000000000,プロデューサー,社長、本当にありがとうございます！,"President, thank you very much!"
6902001090040,社長,"……とにかく。もっと礼を言うべき相手、
いや、祝うべき相手がいるんじゃないか","...Moving on. I think there's someone else you need to
be thanking. Or rather, congratulating."
0000000000000,プロデューサー,"……そうですね
今日の主役は、他でもない彼女ですから","...Of course. We wouldn't even be celebrating right
now if it weren't for her."
6902001090050,社長,"なら、私たちのことは気にせず
早く行ってこい","Well, don't mind us.
Go and see her!"
6901001090070,はづき,"彼女のこと、いっぱい
褒めてあげてくださいねー！",Make sure to shower her with lots and lots of praise!
0000000000000,プロデューサー,はい！　もちろんです！,"Yes! Absolutely! "
6028001090010,はるき,────────……,──...
0000000000000,プロデューサー,はるき……やっぱりここにいた,Haruki... I knew you were here.
0000000000000,プロデューサー,……今、どうして手を見つめてたんだ？,Why are you looking at your hands just now?
6028001090020,はるき,ふふっ……,Fufu...
6028001090030,はるき,"────心、みんなに届けられたかなぁって
考えてたんです","I was thinking about whether my feelings reached 
everyone's hearts."
6028001090040,はるき,この手は、歌うように踊れたかなって,"I thought these hands could dance like they were 
singing."
0000000000000,プロデューサー,────きっと届いたよ,I'm sure it reached everyone.
0000000000000,プロデューサー,届いたから『W.I.N.G.』で優勝できたんだと思う,"I think it was the reason we won ""W.I.N.G.""."
6028001090050,はるき,……！,...!
0000000000000,プロデューサー,はるき、優勝おめでとう,"Congratulations on winning, Haruki."
6028001090060,はるき,"はい……！
ありがとう、ございます────","Yes...!
Thank you very much──"
6028001090070,はるき,実は──,Actually...
6028001090080,はるき,アイドルになって、『W.I.N.G.』優勝までしたら……,"If you become an idol and win ""W.I.N.G.""..."
6028001090090,はるき,"ぱっと目の前が開けて
何かすごいことが起こるのかなって思ってたんですけど",I thought something amazing was going to happen.
6028001090100,はるき,"実際、そうなってみると
ただぼうっとしてしまって────","In fact when it happened, it felt like I blanked out."
0000000000000,プロデューサー,うん──……,Hrm...
6028001090110,はるき,"いままで、すごく大変だったこととか
たくさん浮かんできて……",I've been through a lot of hard times in my life...
6028001090120,はるき,"────わたしがしてきたことは
近道だったのか遠回りだったのかわかりません","I don't know if what I have done has been a shortcut 
or a detour."
6028001090130,はるき,"でも、アイドルになれてよかったです
すごく、楽しかったから……！","But I'm really glad I became an idol.
It's just so much fun...!"
0000000000000,プロデューサー,…………ああ,... Yeah.
0000000000000,プロデューサー,そう思ってくれたのなら嬉しいよ,I'm glad you feel that way.
6028001090140,はるき,"ステージの上で……
プロデューサーさんの言葉を思い出していました","When I was on stage, I ended up remembering your 
words, Producer-san."
6028001090150,はるき,"『君自身の心を動かして
見える世界を塗り替えればいい』","""Move your own heart.""
""Repaint the world."""
6028001090160,はるき,それを胸に、パフォーマンスしたらなんでもできる気がして,"With that in mind, I felt like I could do anything if I performed."
6028001090170,はるき,"────わたし、今まで生きた中で
今日のステージが一番、心動きました……！","I've never felt so moved as before since I was on 
this stage today...!"
6028001090180,はるき,"ここまで来られたのは、プロデューサーさんのおかげです
ありがとうございます……！","It's all thanks to you that I've come this far,
Producer-san. Thank you very much...!"
0000000000000,プロデューサー,……うん,... Yeah.
0000000000000,プロデューサー,"俺の方こそ、すごくいいステージを見せてもらった
本当にありがとう","I'm the one who got to see you on that stage.
Thank you so much."
0000000000000,プロデューサー,"でも、やっぱり一番頑張ったのは
はるきだからな。自分をいっぱい褒めてくれ","But you're the one who worked the hardest of all.
Give yourself plenty of praise too, Haruki."
6028001090190,はるき,"あ、それなら────
一番褒めるべきはあの時のわたしかも……","Ah, well──
Maybe I do deserve some praise too..."
0000000000000,プロデューサー,……あの時って？,... For that time?
6028001090200,はるき,"ステージの上で、プロデューサーさんを見つけて
駆け出したわたしです","After all, I was the one who found you
and chased after you off stage."
6028001090210,はるき,"………わたし、あそこで飛び出してなかったら
アイドルにはなっていませんでした","If I hadn't jumped off back then, I wouldn't have 
become an idol."
6028001090220,はるき,あの時、勇気を出した自分を褒めてあげたいです,"I want to praise myself for having the courage to do 
it that time."
0000000000000,プロデューサー,──ああ！　本当にな,Yeah! You should.
0000000000000,プロデューサー,"俺も、飛び込んできてくれて
よかったと思うよ",I'm really glad you jumped off and went after me.
6028001090230,はるき,ふふ～……,Fufu～...
6028001090240,はるき,────プロデューサーさん,──Producer-san.
6028001090250,はるき,"これからも、色とりどりの世界
一緒に探してくれますか","Will you continue to explore this colorful world
together with me?"
0000000000000,プロデューサー,──ああ、もちろん！,"Ah, but of course!"
6028001090260,はるき,"ふふっ……
よろしくお願いしますね？","Fufu...
Then I suppose you'll take good care of me?"
info,produce_events/602800109.json,
Translator,Burbur,
