ja,en
期間中「レッスン」「お仕事」での体力消費量－20％,"While Active ""Lessons"" ""Jobs"" Stamina Cost -20%"
期間中「レッスン」「お仕事」での体力消費量+30％,"While Active ""Lessons"" ""Jobs"" Stamina Cost +30%"
イベント累計報酬が受け取れます,Receive Event Rewards
イベント累計報酬獲得,Total Event Rewards Acquired
オープニング,Opening
エンディング,Ending
覚えられるライブスキルは4つまでです。忘れるスキルを選択して下さい。,You can remember up to 4 live skills. Choose a skill to forget.
この商品には以下の内容が含まれます,This product contains the following:
期間中「レッスン」「お仕事」でのトラブル発生率+20％\n期間中「レッスン」「お仕事」で得られるファン数-50％,"While Active ""Lessons"" ""Jobs"" Trouble Rate +20%\nWhile Active ""Lessons"" ""Jobs"" Fan Rewards -50%"
得意ジャンルが流行１位の時には、積極的にオーディションに参加しましょう♪\n得意ジャンルの審査員へ、集中的にアピールしてくださいね。\n途中でリタイアしてしまわないよう、アイドルのメンタルやオーディションの\n推奨値に注目するのも忘れずに。,"Make sure you participate in auditions when your best stat is the No. 1 trend♪\nAppeal strongly to the judge of your best stat.\nDon't retire early,watch your idol's mental in auditions.\nDon't forget to pay attention to the recommend values."
プロデューサーさん、お疲れ様でした♪\nこの研修で学んだ事を、プロデュースに役立ててくださいね\n『W.I.N.G.』でTrue Endを達成して、アイドルとの絆を深めていきましょう～,"Producer, thanks for your hard work♪\nPlease use what you learned in this training when Producing\nAchieve a True End in ""W.I.N.G."", and let's\ndeepen our bonds with the idols~"
W.I.N.G.編[True End 研修用],W.I.N.G. Run[True End Training]
「ファン数50万人以上」「W.I.N.G.優勝」の条件を満たし、アイドルのTrue Endに辿り着くためのプロデュース研修です。各シーズンの目標に従って進めましょう。,"If you meet the conditions of ""500,000+ Fans"" and ""Win W.I.N.G."", you'll reach the Idol's True End in this Produce Training. Follow the goals of each season."
アイドル選択,Idol Selection
得意ジャンル,Strong Stat
選択中のアイドル,Selected Idol
自己ベスト,Best Score
今期の記録,This Score
使用中のアイテムはありません,No Items in Use
所持SP,SP
獲得方法,Acquire
現在設定中の称号,Set Current Title
選択中の称号,Selected Title
サポートアイドルを特訓しよう,Evolve a Support Idol
ゲームにログインしよう,Log In to the Game
サポートアイドルをトレーニングしよう,Train a Support Idol
ユニット編成でサポートアイドルを入れ替えてみよう,Replace a Support Idol in the Unit Formation
プロデュースを開始しよう,Start a Produce Run
振り返りでスキルを習得してみよう,Unlock a Skill during a Run
オーディションでラストアピールを獲得しよう,Earn Last Appeal in Auditions
ファン人数1、000人達成してシーズン1を突破しよう,"Beat Season 1 with 1,000 fans"
ファン人数10、000人達成してシーズン2を突破しよう,"Beat Season 2 with 10,000 fans"
フェスに参加してみよう,Let's Participate in Fes
限定SSR確定Plusガシャチケット,Limited Guaranteed SSR Plus Gacha Ticket
限定SSR確定Plusガシャチケット(1/10),Limited Guaranteed SSR Plus Gacha Ticket(1/10)
SSR確定Plusガシャチケット(1/10),Guaranteed SSR Plus Gacha Ticket(1/10)
TrueEnd達成数,﻿True Ends Completed
アイドル所持数,# of Idols Owned
プロデュースアイドル所持数,# of Produce Idols
サポートアイドル所持数,# of Support Idols
グレードフェスプレイ回数,# of Grade Fes Played
フェスリハーサルプレイ回数,# of Fes Rehearsal Played
グレードフェス1位回数,# of Grade Fes Won
フェスリハーサル1位回数,# of Fes Rehearsal Won
グレードフェス1位率(累積),Grade Fes 1st Place(Total)
フェスリハーサル1位率(累積),Rehearsal 1st Place(Total)
グレード1滞在回数,Times in Grade 1
グレード2滞在回数,Times in Grade 2
グレード3滞在回数,Times in Grade 3
グレード4滞在回数,Times in Grade 4
グレード5滞在回数,Times in Grade 5
グレード6滞在回数,Times in Grade 6
