text,trans,type
サポートアイドルをトレーニングしよう,Train a Support Idol,text
放課後クライマックスガールズ のメンバーを全員入れたデッキでフェスアイドルを誕生させよう,Create a Fes Idol using all After School Climax Girl members in a run,text
フェスをプレイしよう,Play Fes,text
ブロンズトレーニングチケット,Bronze Training Ticket,text
サポートアイドルのトレーニングに必要なチケットです,Ticket required for training Support Idols,text
シルバートレーニングチケット,Silver Training Ticket,text
デイリーミッションを全てクリアしよう,Complete All Daily Missions,text
ゴールドトレーニングチケット,Gold Training Ticket,text
フェスで勝利しよう,Win a Fes,text
ウィークリーミッションを全てクリアしよう,Complete All Weekly Missions,text
フェスアイドルを誕生させよう,Create a Fes Idol,text
フェスに参加しよう,Participate in Fes,text
プラチナトレーニングチケット,Platinum Training Ticket,text
営業をしよう,Complete a Job,text
お手製差し入れ,Use Handmade Goods,text
プチセレクションチケット,Petit Selection Ticket,text
集めるとチケット交換で特定のアイドルと交換できるチケットです,Collect and exchange tickets for a specific idol with ticket exchange,text
「プロ根性」：メンタルが極小時にパーフェクトアピールを行う,「Pro Guts」：Do a Perfect Appeal when Mental is Lowest,text
SR以上確定ガシャチケット,SR+ Gacha Ticket,text
SR以上確定ガシャが引けるチケットです,Can Receive an SR+ Gacha Ticket,text
リカバリーソーダ1/4,Recovery Soda 1/4,text
スタミナが最大量の1/4回復します,Restores 1/4 of Max Stamina,text
フェスエントリーチケット,Fes Entry Ticket,text
リカバリーソーダ1/2,Recovery Soda 1/2,text
スタミナが最大量の1/2回復します,Restores 1/2 of Max Stamina,text
フェスの極意は、最後まで逆転を諦めないことだ,"The secret of Fes is,don't give up until the end",text
「その……会話ってどうすれば\n盛り上がるんでしょうか……？」,"""That... if you have a conversation\r\nCan excitement rise...?""",text
「コミュニケーションは\n節度を持って、ですよ？」,"""Communication\r\nIn moderation, right?""",text
初心にかえって研鑽を積み、羽ばたくんだ！,"Learn from the very beginning, and spread your wings!",text
プロデューサーさん自慢の甘奈を、活躍させてほしいなっ☆,"I want Producer's prized Amana, to flourish☆",text
ずっと、ずっと、お傍においてくださいませ……,"Forever and ever, please stay with me...",text
白い翼を持ったアイドルで、パラダイスを制することができるか？,Can a White-Wing idol conquer paradise?,text
繰り返し限界を超え、絶対に折れない心を手に入れるんだ,"Go past the limit, and achieve a heart that never breaks.",text
ねえねえ、プロデューサー！ なんだかトップアイドルになれそうな気がするよー！,"Hey hey, Producer!  I somehow feel like I can become a top idol-!",text
限界を超えればまた限界がやってくる。くじけずに歌い続けるのだ,If you exceed your limit you'll find a new limit.  Keep singing without faltering.,text
パラダイスを制する……魅惑的な響きだと思わないか？,Conquering Paradise... Don't you think that sounds fascinating?,text
「光り輝くアイドルの誕生だ」,「The birth of a Shining Idol」,text
オーバーキャストモノクローム交換チケット,Overcast Monochrome Exchange Ticket,text
オーバーキャストモノクロームと交換できるチケットです,Can receive with an Overcast Monochrome Exchange Ticket,text
ゲームにログインしよう,Log in to the Game,text
283くじ,283 Raffle,text
283くじの抽選が受けれるチケットです。,Can receive a 283 Raffle Ticket,text
W.I.N.G.決勝に進出しよう,Pass W.I.N.G. Semi-Finals,text
W.I.N.G.を優勝しよう,Win W.I.N.G.,text
「伝説の一瞬」：1回のアピールで全ての審査員からラストアピールを獲得する,「Legendary Moment」：Earn Last Appeal on all judges with a single Appeal,text
「完全掌握」：全ての審査員からトップアピールを獲得する,「Complete Control」：Earn Top Appeal on all judges,text
「パーフェクトライブ」：全ての審査員からトップアピールとラストアピールを獲得する,「Perfect Live」：Earn Top and Last Appeal on all judges,text
SR特訓はづきさん（サポート）,SR Evolve Hazuki (Support),text
SRのサポートアイドルを特訓します,Evolves an SR Support Idol,text
SR特訓はづきさん（プロデュース）,SR Evolve Hazuki (Produce),text
SRのプロデュースアイドルを特訓します,Evolves an SR Produce Idol,text
SSR確定ガシャチケット,Guaranteed SSR Gacha Ticket,text
